,Data,QuantidadePerdida,SetorProduto,CategoriaProduto,NomeProdutoCompleto,PrecoVenda,Fornecedor,PrecoCusto,TipoPerda,Produto,AcaoReducaoPerda,CustoReducaoPerda,Loja,Ano,NomeMes,NomeDia,ValorTotalPerdaVenda,ValorTotalPerdaCusto
11,2024-02-09,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,sexta-feira,314.55,180.0
12,2024-03-03,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,março,domingo,104.85000000000001,60.0
13,2024-10-11,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,outubro,sexta-feira,104.85000000000001,60.0
14,2024-01-21,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,janeiro,domingo,524.25,300.0
15,2024-02-26,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,fevereiro,segunda-feira,419.40000000000003,240.0
16,2024-02-23,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,sexta-feira,314.55,180.0
17,2024-01-04,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,janeiro,quinta-feira,104.85000000000001,60.0
18,2024-08-28,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,agosto,quarta-feira,314.55,180.0
19,2024-10-24,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,outubro,quinta-feira,419.40000000000003,240.0
20,2024-01-06,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,janeiro,sábado,104.85000000000001,60.0
21,2024-08-31,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,sábado,419.40000000000003,240.0
22,2024-05-14,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,maio,terça-feira,314.55,180.0
23,2024-08-11,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,domingo,524.25,300.0
24,2024-02-14,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,fevereiro,quarta-feira,419.40000000000003,240.0
25,2024-05-26,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,maio,domingo,104.85000000000001,60.0
26,2024-06-16,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,junho,domingo,314.55,180.0
27,2024-06-18,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,terça-feira,314.55,180.0
28,2024-04-21,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,abril,domingo,314.55,180.0
29,2024-09-02,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,setembro,segunda-feira,419.40000000000003,240.0
30,2024-08-26,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,segunda-feira,314.55,180.0
31,2024-06-22,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,junho,sábado,419.40000000000003,240.0
32,2024-12-08,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,dezembro,domingo,314.55,180.0
33,2024-02-01,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,fevereiro,quinta-feira,524.25,300.0
34,2024-09-22,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,setembro,domingo,419.40000000000003,240.0
35,2024-03-26,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,março,terça-feira,419.40000000000003,240.0
36,2024-06-09,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,domingo,524.25,300.0
37,2024-08-08,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,quinta-feira,104.85000000000001,60.0
38,2024-07-05,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,julho,sexta-feira,419.40000000000003,240.0
39,2024-03-23,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,março,sábado,419.40000000000003,240.0
40,2024-04-06,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,abril,sábado,104.85000000000001,60.0
41,2024-08-26,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,segunda-feira,209.70000000000002,120.0
42,2024-06-12,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,junho,quarta-feira,209.70000000000002,120.0
43,2024-11-28,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,novembro,quinta-feira,314.55,180.0
44,2024-05-25,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,maio,sábado,524.25,300.0
45,2024-08-13,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,terça-feira,524.25,300.0
46,2024-10-28,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,outubro,segunda-feira,524.25,300.0
47,2024-11-22,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,novembro,sexta-feira,209.70000000000002,120.0
48,2024-05-19,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,maio,domingo,104.85000000000001,60.0
49,2024-03-22,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,março,sexta-feira,419.40000000000003,240.0
50,2024-06-28,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,sexta-feira,209.70000000000002,120.0
51,2024-08-09,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,agosto,sexta-feira,209.70000000000002,120.0
52,2024-09-26,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,setembro,quinta-feira,314.55,180.0
53,2024-02-21,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,fevereiro,quarta-feira,104.85000000000001,60.0
54,2024-08-26,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,segunda-feira,209.70000000000002,120.0
55,2024-04-14,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,abril,domingo,524.25,300.0
56,2024-02-06,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,fevereiro,terça-feira,314.55,180.0
57,2024-03-06,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,março,quarta-feira,104.85000000000001,60.0
58,2024-01-08,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,janeiro,segunda-feira,209.70000000000002,120.0
59,2024-01-13,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,janeiro,sábado,524.25,300.0
60,2024-11-17,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,novembro,domingo,209.70000000000002,120.0
61,2024-12-15,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,dezembro,domingo,524.25,300.0
62,2024-09-13,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,setembro,sexta-feira,419.40000000000003,240.0
63,2024-08-19,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,agosto,segunda-feira,209.70000000000002,120.0
64,2024-11-25,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,novembro,segunda-feira,314.55,180.0
65,2024-08-09,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,sexta-feira,524.25,300.0
66,2024-02-03,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,fevereiro,sábado,104.85000000000001,60.0
67,2024-02-22,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,fevereiro,quinta-feira,104.85000000000001,60.0
68,2024-11-22,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,novembro,sexta-feira,524.25,300.0
69,2024-02-11,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,domingo,104.85000000000001,60.0
70,2024-06-13,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,junho,quinta-feira,104.85000000000001,60.0
71,2024-10-30,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,outubro,quarta-feira,524.25,300.0
72,2024-08-16,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,sexta-feira,314.55,180.0
73,2024-07-27,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,julho,sábado,314.55,180.0
74,2024-11-23,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,novembro,sábado,314.55,180.0
75,2024-01-26,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,janeiro,sexta-feira,314.55,180.0
76,2024-03-19,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,março,terça-feira,314.55,180.0
77,2024-04-14,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,abril,domingo,419.40000000000003,240.0
78,2024-12-02,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,dezembro,segunda-feira,209.70000000000002,120.0
79,2024-08-28,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,quarta-feira,209.70000000000002,120.0
80,2024-08-07,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,quarta-feira,419.40000000000003,240.0
81,2024-08-19,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,segunda-feira,314.55,180.0
82,2024-10-30,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,outubro,quarta-feira,104.85000000000001,60.0
83,2024-04-24,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,abril,quarta-feira,104.85000000000001,60.0
84,2024-08-03,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,agosto,sábado,524.25,300.0
85,2024-10-16,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,outubro,quarta-feira,104.85000000000001,60.0
86,2024-06-19,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,quarta-feira,314.55,180.0
87,2024-11-19,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,novembro,terça-feira,209.70000000000002,120.0
88,2024-04-13,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,abril,sábado,419.40000000000003,240.0
89,2024-10-06,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,outubro,domingo,104.85000000000001,60.0
90,2024-08-08,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,quinta-feira,524.25,300.0
91,2024-05-12,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,maio,domingo,104.85000000000001,60.0
92,2024-06-21,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,sexta-feira,104.85000000000001,60.0
93,2024-12-30,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,dezembro,segunda-feira,104.85000000000001,60.0
94,2024-05-23,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,maio,quinta-feira,314.55,180.0
95,2024-02-17,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,sábado,104.85000000000001,60.0
96,2024-02-04,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,domingo,524.25,300.0
97,2024-06-04,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,junho,terça-feira,104.85000000000001,60.0
98,2024-06-02,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,junho,domingo,419.40000000000003,240.0
99,2024-01-28,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,janeiro,domingo,104.85000000000001,60.0
100,2024-09-07,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,setembro,sábado,209.70000000000002,120.0
101,2024-05-20,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,maio,segunda-feira,209.70000000000002,120.0
102,2024-12-16,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,dezembro,segunda-feira,314.55,180.0
103,2024-06-09,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,junho,domingo,104.85000000000001,60.0
104,2024-10-31,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,outubro,quinta-feira,209.70000000000002,120.0
105,2024-01-22,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,janeiro,segunda-feira,524.25,300.0
106,2024-12-09,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,dezembro,segunda-feira,419.40000000000003,240.0
107,2024-04-25,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,abril,quinta-feira,104.85000000000001,60.0
108,2024-02-17,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,fevereiro,sábado,524.25,300.0
109,2024-12-29,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,dezembro,domingo,524.25,300.0
110,2024-09-01,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,setembro,domingo,419.40000000000003,240.0
111,2024-08-13,30,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,terça-feira,209.70000000000002,120.0
112,2024-07-29,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,julho,segunda-feira,104.85000000000001,60.0
113,2024-04-12,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,abril,sexta-feira,314.55,180.0
114,2024-05-04,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,maio,sábado,104.85000000000001,60.0
115,2024-08-19,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,agosto,segunda-feira,524.25,300.0
116,2024-09-22,45,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,setembro,domingo,314.55,180.0
117,2024-08-11,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,agosto,domingo,524.25,300.0
118,2024-12-06,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,dezembro,sexta-feira,524.25,300.0
119,2024-05-21,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Shop. Market Place,2024,maio,terça-feira,419.40000000000003,240.0
120,2024-03-25,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Itaim Bibi,2024,março,segunda-feira,419.40000000000003,240.0
121,2024-04-29,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,abril,segunda-feira,524.25,300.0
122,2024-05-27,75,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,maio,segunda-feira,524.25,300.0
123,2024-09-30,60,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,setembro,segunda-feira,419.40000000000003,240.0
124,2024-10-03,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,outubro,quinta-feira,104.85000000000001,60.0
125,2024-02-13,15,Hortifruti,Verduras,Acelga Kg,6.99,Terra Boa,4.0,Deterioração rápida,Acelga,Sistema de Hidroresfriamento,500,Morumbi,2024,fevereiro,terça-feira,104.85000000000001,60.0
